"payment method","platební metoda"
"Add method", "Přidat metodu"
"Weight from","Hmotnost od"
"Weight to (includes)","Hmotnost do (včetně)"
"Price","Cena"
"Add rule","Přidat pravidlo"
"CSV Export","CSV Export"
"Order number","Číslo objednávky"
"Order status","Stav objednávky"
"Full name","Jméno a příjmení"
"Recipient company","Společnost příjemce"
"Recipient e-mail","Email příjemce"
"Recipient phone number","Telefon příjemce"
"Recipient address","Adresa příjemce"
"COD","Dobírka"
"Currency","Měna"
"Total price","Celková cena"
"Pickup point address","Adresa odběr. místa"
"Exported","Exportováno"
"Export date","Datum exportu"
"Yes","Ano"
"No","Ne"
"Version 5","Verze 5"
"Some prices are not filled","Některé ceny nejsou vyplněné"
"The weight intervals must not overlap","Váhové intervaly se nesmí překrývat"
"Please choose the pick-up point.","Prosím vyberte výdejní místo"
"Please choose the shipment method.","Prosím vyberte způsob doručení"
"Accept all","Povolit vše"
"Packeta - orders","Zásilkovna - objednávky"
"This method is currently unavailable. If you would like to purchase this shipping method, please contact us.","Tato metoda je aktuálně nedostupná. Pokud byste chtěli nakoupit tímto způsobem dopravy, kontaktujte nás."
"Rules","Pravidla"
"Config","nastavení"
"Packeta","Zásilkovna"
"Other settings could be set in Systém -> Configuration -> Packeta","Další nastavení lze provést Systém -> Konfigurace -> Zásilkovna"
"Enabled","Povoleno"
"Sort order","Řazení objednávek"
"Title","Název"
"Method Title","Název metody"
"Widget settings","Nastavení widgetu"
"API key","API klíč"
"Price rules","Cenová pravidla"
"Global settings","Globální nastavení"
"Default price","Výchozí cena"
"Max. weight","Maximální váha"
"Free shipping","Doprava zdarma"
"Rules - other countries","Pravidla - ostatní země"
"Rules CZ","Pravidla CZ"
"Rules SK","Pravidla SK"
"Rules PL","Pravidla PL"
"Rules RO","Pravidla RO"
"Rules HU","Pravidla HU"
"Free shipping threshold for Czech Republic.","Poštovné zdarma pro Českou republiku"
"Free shipping threshold for Slovakia.","Poštovné zdarma pro Slovensko"
"Free shipping threshold for Poland.","Poštovné zdarma pro Polsko"
"Free shipping threshold for Romania.","Poštovné zdarma pro Rumunsko"
"Free shipping threshold for Hungary.","Poštovné zdarma pro Maďarsko"
"Payment methods","Platební metody"
"Payment methods selected above will be considered as cash on delivery (for Packeta).","Platební metody vybrané výše budou považovány za platební metody na dobírku (pro Zásilkovnu)."
"Packeta configuration","Zásilkovna konfigurace"
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nejsou v současné době k dispozici žádné nabídky."
"Incl. Tax","Vč. daně"
"Select pick-up point","vybrat výdejní místo"
"Edit","editovat"
"Your order has been received.","Vaše objednávka byla přijata."
"Thank you for your purchase!","Děkujeme za vaši platbu!"
"Your order is going to be delivered to: %s.","Vaše objednávka bude doručena do: %s."
"Your order # is: %s.","Vaše objednávka # je %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Obdržíte e-mail s potvrzením objednávky s podrobnostmi o vaší objednávce a odkazem na její průběh."
"Your billing agreement # is: %s.","Vaše faktura # je %s."
"Your recurring payment profiles:","Vaše časté platební profily:"
"Payment profile # %s: %s.","Platební profil # %s: %s."
"Continue Shopping","Pokračovat v nákupu"
"Packeta Orders","Zásilkovna objednávky"
"The weight intervals must not be the same.","Váhové intervaly nesmí být stejné."
"Error! no export data found.","Chyba! Nenalezena žádná data pro export."
